Country,Continent,Expenditure,Reading,Math,Science
Argentina,South America,2883.05578,396.208,388.496,405.856
Australia,Oceania,10164.74865,511.512,504.2736,521.6864
Austria,Europe,13805.6082,488.607,504.3003,504.6431
Belgium,Europe,12025.27335,508.6255,514.3619,504.9414
Brazil,South America,3019.970006,410.4018,391.113,404.4018
Bulgaria,Europe,1467.25916,433.788,436.4928,444.4416
Chile,South America,3909.07113,432.0725,414.362,435.2799
Colombia,South America,2676.500525,403.1509,376.9101,398.5142
Czech Republic,Europe,7468.67889,492.384,498.6055,508.211
Denmark,Europe,10631.6363,496.311,500.3362,498.311
Estonia,Europe,6790.590856,516.6224,520.2723,541.2723
Finland,Europe,9985.272205,523.9222,518.6678,545.4452
France,Europe,11045.81288,505.2249,493.461,497.2641
Germany,Europe,10649.79334,508.3112,513.568,523.4396
Hong Kong,Asia,6014.47379,544.8872,561.5612,554.9546
Hungary,Europe,4418.85552,488.7904,477.472,495.1424
Iceland,Europe,8723.972824,480.3918,490.3378,475.4188
Indonesia,Asia,981.0523515,396.0705,374.9075,381.652
Ireland,Europe,11298.06765,523.3745,501.304,522.0485
Israel,Asia,5688.841461,485,466,469
Italy,Europe,8774.315712,491.729,486.8374,495.1626
Japan,Asia,10170.01866,538.1944,536.493,546.8056
Korea,Asia,8354.848405,536.119,554.0682,538.1698
Latvia,Europe,3609.823284,454.572,456.435,466.6815
Luxembourg,Europe,20616.9136,487.4605,490.0045,491.465
Macao,Asia,12809.17441,508.8631,538.4441,520.3659
Mexico,North America,3006.95326,423.409,412.9282,414.6878
Netherlands,Europe,12296.0666,508.6756,519.378,519
New Zealand,Oceania,9408.769148,514.4912,501.4912,517.1792
Norway,Europe,14450.4479,504.9804,489.9804,494.946
Peru,South America,687.03833,380.9739,365.2988,370.2151
Poland,Europe,6539.861366,518.4943,517.6115,525.4357
Portugal,Europe,8691.348244,487.8522,487.2558,489.5495
Romania,Europe,1060.99518,437.5248,444.448,438.2816
Slovak Republic,Europe,5152.186066,462.9775,481.801,471.62
Slovenia,Europe,8021.519107,483.187,503.1384,516.1141
Spain,Europe,9140.752916,485.9488,481.9476,494.2614
Sweden,Europe,11177.15264,483.49,478.094,484.6524
Switzerland,Europe,16730.98899,508.685,531.181,514.937
Thailand,Asia,1078.8949,441.3764,427.0456,444.211
Turkey,Europe,2904.066918,474.6365,446.4577,462.2943
United Arab Emirates,Asia,7409.6995,442.0576,434.2044,448.6164
United States,North America,12442.04672,498.5378,482.2796,498.699
